software	platform	download-size	description
ffuf	linux,darwin,win	4078669	linux/x64
fio	win	2658304	msi
firebase-tools	linux,darwin	251346057	linux/arm64
firework-rs	linux,darwin,win	391116	linux/x64
fish-shell	linux	3214148	linux/x64
fission	linux,darwin	69107874	linux/x64
flamelens	linux,darwin,win	1014632	linux/x64
flameshot	linux,darwin,win	819137	linux/x64
fli	linux,darwin,win	3779256	linux/x64
flow	linux,darwin,win	20134558	linux/x64
flowrs	linux,darwin	6912576	linux/x64
fluentci	linux,darwin	41719938	linux/x64
flux2	linux,darwin,win	24734577	linux/x64
flyctl	linux,darwin,win	50795427	linux/x64
flyway	linux,darwin,win	379281605	linux/x64
fman	linux,darwin,win	2872704	linux/x64
fnm	linux,darwin,win	3360953	linux/arm64
fnug	linux,darwin,win	8671056	linux/x64
fox	linux	33964224	linux/x64
fq	linux,darwin,win	4817183	linux/x64
framework-tool-tui	linux,win	1071356	linux/x64
fresh	linux,darwin,win	10225544	linux/arm64
froggit	linux,darwin,win	3141412	linux/x64
frp	linux,darwin,win	13932092	linux/x64
fselect	linux,darwin	3751324	linux/x64
fx	linux,darwin	18104523	linux/x64
fzf	linux,darwin,win	2025378	linux/x64
fztea	linux,darwin,win	3600546	linux/x64
g	linux,darwin,win	3039908	linux/x64
gama	linux,darwin	8384664	linux/x64
gastown	linux,darwin,win	13869178	linux/x64
gatekeeper	linux,darwin	39377263	linux/x64
gaze	linux,darwin,win	1469784	linux/arm64
gdu	linux,darwin,win	8887277	linux/x64
gemini-cli	darwin	37989233	macos/x64
genact	linux,darwin	1558952	linux/x64
gfold	linux,darwin	1725720	linux/arm64
ggh	linux,darwin	3522744	linux/x64
gh-dash	linux,darwin	23716002	linux/x64
ghfetch	linux,darwin,win	4051026	linux/x64
ghq	linux,darwin,win	4134707	linux/x64
gifgrep	linux,darwin	3918518	linux/x64
git-absorb	linux,darwin,win	1055826	linux/x64
git-branchless	linux,darwin,win	9087503	linux/x64
git-cc	linux,darwin,win	2846094	linux/x64
git-chglog	linux,darwin,win	3498406	linux/x64
git-cinnabar	linux,darwin,win	2103904	linux/x64
git-commit-helper	linux,darwin,win	4564200	linux/x64
git-interactive-rebase-tool	linux,darwin	2206600	linux/x64
git-lfs	linux,darwin,win	5909255	linux/x64
git-sizer	linux,darwin,win	2002014	linux/x64
git-trim	linux	2266294	linux/arm64
git-who	linux,darwin,win	1520858	linux/x64
github-mcp-server	linux,darwin,win	8265496	linux/x64
gitleaks	linux,darwin,win	8230402	linux/x64
gitmoji-cli	linux,darwin	74610433	linux/arm64
gitnr	linux,darwin	2327776	linux/x64
gitoxide	darwin,win	11753683	macos/arm64
gitpane	linux,darwin,win	4829630	linux/x64
gitsocial	linux,darwin,win	12340189	linux/x64
gittop	linux,darwin,win	3555509	linux/x64
gitui	linux,win	6840775	linux/x64
gitv	linux,darwin,win	3802938	linux/x64
gitweb	linux,darwin	8099552	linux/arm64
gloomberb	linux,darwin,win	47290297	linux/x64
go-qo	linux,darwin	3596775	linux/x64
gobackup	linux,darwin	11519558	linux/x64
gobuster	linux,darwin,win	3824547	linux/x64
gocovsh	linux,darwin,win	1146764	linux/x64
godap	linux,darwin,win	10494380	linux/x64
godu	linux,darwin,win	1070525	linux/x64
gofumpt	linux,darwin	3289248	linux/x64
gojo	linux,darwin,win	1024900	linux/x64
gojq	linux,darwin,win	1797166	linux/x64
golangci-lint	linux,darwin,win	15451894	linux/x64
gollama	linux,darwin	4609211	linux/x64
gomi	linux,darwin,win	5366098	linux/x64
gomplate	linux,darwin,win	109559970	linux/x64
gomuks	linux,darwin	80748544	macos/x64
goose	linux,darwin	42090656	linux/x64
gop	linux,darwin,win	21124117	linux/x64
gopass	linux,darwin,win	8154858	linux/x64
gorae	linux,darwin	14094498	linux/x64
goreleaser	linux,darwin,win	26551191	linux/x64
gosop	linux,darwin,win	5264852	linux/x64
goss	linux,darwin,win	6340527	linux/x64
gost	linux,darwin,win	17733052	linux/x64
goto	linux,darwin,win	3711078	linux/x64
gotop	linux,darwin,win	3041686	linux/x64
gotty	linux,darwin	2950953	linux/x64
gotz	linux,darwin,win	1368767	linux/x64
gowall	linux,darwin,win	14307058	linux/x64
gpg-tui	linux	1509877	linux/x64
gping	linux,darwin,win	1396401	linux/x64
gpt_academic	darwin	18319	macos/arm64
gptcommit	linux,darwin,win	7074899	linux/x64
gptscript	linux	16734163	linux/x64
grex	linux,darwin,win	1382876	linux/x64
grok-cli	linux,darwin	117037505	linux/x64
gron	linux,darwin,win	4052281	linux/x64
grpcurl	linux,darwin,win	9968722	linux/x64
grv	linux	12116016	linux/x64
gtrash	linux,darwin	2264117	linux/x64
gust	linux,darwin	4448715	linux/x64
hackernews-TUI	linux,darwin,win	4702119	linux/x64
hadolint	linux,darwin	55661096	linux/x64
hancock	linux,darwin	5591040	linux/x64
har-viewer	linux,darwin	2542156	linux/x64
harlequin	linux,darwin,win	266870	whl
haskell-language-server	linux,darwin	267717068	linux/x64
hatch	linux,darwin,win	58144501	linux/x64
havn	linux,win	474034	linux/x64
hazelnut	linux,darwin,win	5210688	linux/x64
hcl2json	linux,darwin,win	4210872	linux/x64
headroom-desktop	linux,darwin	19699223	dmg
helix	linux,darwin,win	16636076	linux/x64
herdr	linux,darwin,win	24644488	linux/x64
heretek	linux	2293446	linux/x64
hermes-web-ui	linux,darwin	257411	macos/x64
hevi	linux,darwin	137448	linux/x64
hexabyte	linux,darwin,win	71011	whl
hexapoda	linux,darwin,win	810257	linux/x64
hexowl	linux	1643032	deb
hexyl	linux,darwin,win	555156	linux/x64
hf	linux,darwin,win	469477	linux/x64
himalaya	linux,darwin,win	6732988	linux/x64
hindsight	linux,darwin,win	3994192	linux/x64
hishtory	linux,darwin	47868725	linux/x64
hl	linux,darwin,win	3581267	linux/x64
hledger	linux,darwin,win	48712153	linux/x64
holo	linux,darwin,win	1337744	linux/x64
horcrux	linux,darwin,win	902586	linux/x64
hostctl	linux,darwin,win	3584870	linux/arm64
hours	linux,darwin	3847874	linux/x64
how2	linux	18315674	linux/x64
httplab	linux,darwin,win	1942551	linux/x64
httpmonitor	linux,darwin,win	6638768	linux/x64
httpserver	linux,darwin	5562368	linux/x64
httpstat	linux,darwin,win	7843	whl
hulak	linux,darwin,win	5659270	linux/x64
hurl	linux,darwin,win	3211204	linux/x64
hwatch	linux,darwin,win	2306853	linux/x64
hygen	linux,darwin	19635346	linux/arm64
hyper	linux,darwin	102425	macos/x64
hyperfine	linux,darwin,win	657952	linux/x64
iSMC	darwin	3424021	macos/arm64
iamlive	linux,darwin,win	9965330	linux/x64
icloud_photos_downloader	linux,darwin,win	33540104	linux/x64
igrep	linux,darwin,win	2655011	linux/x64
imgcat	linux,darwin,win	1283883	linux/x64
impala	linux	5179536	linux/x64
incplot	win	3853590	win/x64
inspect-cert-chain	linux,darwin	2282811	linux/arm64
intelli-shell	linux,darwin,win	11933393	linux/x64
intermodal	linux,darwin,win	2054210	linux/x64
invoice	linux,darwin,win	3576528	linux/x64
ipatool	linux,darwin,win	16767109	linux/x64
isort	linux,darwin,win	457708	whl
jb	linux,darwin	93543264	linux/x64
jc	linux,darwin,win	27005746	linux/x64
jcode	linux,darwin,win	48783970	linux/x64
jiq	linux,darwin	1974272	linux/x64
jj	linux,darwin,win	10996028	linux/x64
jjui	linux,darwin,win	5980368	linux/x64
jless	linux,darwin	1136617	linux/x64
jnv	linux,darwin,win	1471832	linux/x64
joker	linux,darwin	497128	linux/x64
jolt	linux,darwin	4000614	linux/x64
jq	linux,darwin	2267912	linux/x64
jql	linux,darwin,win	580325	linux/x64
jqp	linux,darwin,win	4030837	linux/x64
jsongrep	linux,darwin,win	1459848	linux/x64
jsonnet-bundler	linux,darwin	7803032	linux/x64
junie	linux,darwin,win	332132179	linux/x64
jupyterlab	linux,darwin,win	17168312	whl
just	linux,darwin,win	2529009	linux/x64
jwt-cli	linux,darwin,win	1558124	linux/arm64
jwt-ui	linux,darwin,win	1430494	linux/arm64
jx	linux,darwin,win	32046997	linux/x64
k2tf	linux,darwin,win	15213797	linux/x64
k3d	linux,darwin	24887458	linux/x64
k3s	darwin	194734080	macos/x64
k3sup	darwin	8061090	macos/arm64
k9s	linux,darwin,win	41387759	linux/x64
kakoune	linux	1609777	linux/arm64
kalker	linux,darwin,win	4432160	linux/arm64
kanha	linux,darwin,win	2739927	linux/x64
kaskade	linux,darwin,win	73209	whl
kaspa-miner	linux,darwin	3701192	linux/x64
kat	linux,darwin,win	11189068	linux/x64
kbt	linux,darwin,win	1479857	linux/x64
kcl	linux,darwin,win	9005658	linux/x64
kconf	linux,darwin,win	10048280	linux/x64
kdash	linux,darwin,win	6534728	linux/arm64
keep-alive	linux,darwin,win	1541146	linux/x64
keyb	linux,darwin,win	1682466	linux/x64
keypairs	linux	1898244	linux/arm64
kibi	linux,darwin,win	230992	linux/x64
killport	linux,darwin,win	1824715	linux/x64
kimi-cli	linux,darwin,win	95685554	linux/x64
kind	linux,darwin,win	10530942	linux/x64
kite-tui	linux,darwin,win	4145220	linux/x64
kitty	linux,darwin	26149026	linux/x64
kl	linux,darwin,win	14096779	linux/x64
kmon	linux	695226	linux/x64
ko	linux,darwin,win	12369479	linux/x64
koji	linux,darwin,win	3687834	linux/x64
kolosal-cli	linux,darwin	82964532	linux/x64
kompose	linux,darwin,win	25391288	linux/x64
kopia	linux,darwin	17002767	linux/x64
kops	linux,darwin,win	172613794	linux/x64
kotlin	linux,darwin,win	109189839	linux/x64
kots	linux,darwin	61368361	linux/x64
kplay	linux,darwin	6609947	linux/x64
kpt	linux,darwin	66355362	linux/x64
krew	linux,darwin,win	5319929	linux/x64
ksonnet	linux,darwin,win	23034111	linux/x64
ktea	linux,darwin,win	6390807	linux/x64
ktop	linux,darwin	13486582	linux/x64
ku	linux,darwin	52838562	linux/x64
kube-capacity	linux,darwin,win	11278707	linux/x64
kube-credential-cache	linux,darwin,win	4869538	linux/x64
kube-no-trouble	linux,darwin,win	13885177	linux/x64
kube-score	linux,darwin,win	15335576	linux/x64
kube-shell	linux,darwin,win	31484	whl
kubecm	linux,darwin,win	15277829	linux/x64
kubecolor	linux,darwin	808507	linux/x64
kubeconform	linux,darwin,win	7534236	linux/x64
kubectl-ai	linux,darwin,win	22263595	linux/x64
kubectl-rolesum	linux,darwin,win	13125933	linux/x64
kubectx	linux,darwin,win	5175790	linux/x64
kubefed	linux,darwin	19793956	linux/x64
kubefirst	linux,darwin	71573901	linux/x64
kubelogin	linux,darwin	24442328	linux/x64
kubergrunt	linux,darwin	58994174	linux/x64
kubesec	linux,darwin	12917404	linux/x64
kubeshark	linux,darwin,win	62206136	linux/x64
kubespy	linux,darwin,win	27778615	linux/x64
kubeval	linux,darwin,win	2881706	linux/x64
kubevela	linux,darwin,win	33906791	linux/x64
kubie	linux,darwin	7378384	linux/x64
kure	linux,darwin,win	5335883	linux/x64
kustomize	linux,darwin,win	5171673	linux/x64
kwt	linux,darwin	35588336	linux/x64
kyanos	linux	13854915	linux/x64
lakeFS	linux,darwin,win	63614748	linux/x64
langchain	linux,darwin,win	571690	whl
last30days-skill	linux,darwin	5471154	linux/x64
lazycut	darwin	1520298	macos/arm64
lazydocker	linux,darwin,win	4934171	linux/x64
lazyenv	linux,darwin,win	2611384	linux/x64
lazyjira	linux,darwin,win	6837453	linux/x64
lazyjournal	linux,darwin	4411554	linux/x64
lazykiq	linux,darwin,win	6440180	linux/x64
lazynpm	linux,darwin	4316344	linux/x64
lazysql	linux,darwin,win	6863785	linux/x64
lazyssh	linux,darwin,win	5200046	linux/x64
lazyworktree	linux,darwin,win	5422336	linux/x64
lefthook	linux,darwin,win	14524578	linux/x64
lego	linux,darwin,win	21187636	linux/x64
lemurs	linux	838836	linux/x64
lexy	linux,darwin,win	13471	whl
lf	linux,darwin,win	2324047	linux/x64
lfk	linux,darwin,win	20953820	linux/x64
lhasa	win	66056	win/arm64
libsql	linux,darwin	10990112	linux/x64
licensor	linux,darwin,win	475740	linux/arm64
lighthouse	linux,darwin	29616186	linux/x64
linkerd2	linux,darwin	91058338	linux/x64
liqo	linux,darwin,win	77906104	linux/x64
litestream	linux,darwin,win	13540484	linux/x64
lla	linux,darwin,win	24386184	linux/x64
llmfit	linux,darwin,win	6709197	linux/x64
lnav	linux,darwin,win	42423829	linux/x64
lnko	linux,darwin	372168	linux/x64
loggo	linux,darwin,win	7489029	linux/x64
logmerger	linux,darwin,win	32913	whl
logss	linux,win	1280052	linux/x64
lsd	linux,darwin,win	1636378	linux/x64
lssh	linux,darwin,win	182731086	linux/x64
lstr	linux,darwin,win	6912576	linux/x64
lutris	linux	2066988	deb
lychee	linux,darwin,win	7626970	linux/x64
lynx	darwin,win	17309140	macos/x64
mac-cleanup-go	darwin	3679125	macos/x64
macchina	linux,darwin	1504177	linux/x64
machine	linux,darwin	34213952	linux/x64
mackup	linux,darwin,win	209046	whl
macli	darwin	136788	macos/arm64
maclisten	darwin	54644	macos/arm64
macports-base	darwin	5534137	macos/arm64
macvision	darwin	118032	macos/arm64
mad	linux,darwin	5210264	linux/x64
magika	linux,darwin,win	9086448	linux/x64
mani	linux,darwin,win	3167196	linux/x64
many-ai-cli	linux,darwin,win	11721267	linux/x64
marchat	linux,darwin,win	26161848	linux/x64
marp-cli	linux	48644453	linux/arm64
mastui	linux,darwin,win	29508910	win/x64
matcha	linux,darwin,win	8049930	linux/x64
maven-mvnd	linux,darwin,win	24295403	linux/x64
mcat	linux,darwin,win	10387572	linux/x64
mcp-cli	linux,darwin	101135752	linux/x64
mcphost	linux,darwin,win	14852703	linux/x64
mdcat	linux,win	4768853	linux/x64
mdfried	linux,darwin	190795988	macos/x64
mdns-scanner	linux,darwin,win	3367142	linux/x64
mdtsql	linux,darwin,win	6976824	linux/x64
mdtt	linux,darwin,win	2578227	linux/x64
meetily	darwin,win	50352683	macos/arm64
melt	linux,darwin,win	3420615	linux/x64
mercury-agent	linux,darwin	99485824	linux/x64
meson	win	15646720	msi
meteor	linux,darwin,win	2591424	linux/x64
micro	linux,darwin,win	5087804	linux/x64
migrate	linux,darwin,win	17394526	linux/x64
miller	linux,darwin,win	5960002	linux/x64
mindforger	darwin	97369517	dmg
minify	linux,darwin,win	2251428	linux/x64
miniserve	linux,darwin	2372224	linux/x64
mirrord	linux	11060992	linux/x64
mistral-vibe	linux,darwin,win	45157686	linux/x64
mlbt	linux,darwin,win	2747391	linux/x64
models	linux,darwin,win	3532761	linux/x64
mods	linux,darwin,win	10710072	linux/x64
moltbot	darwin	420334248	dmg
mongodb-atlas-cli	linux,darwin,win	17596931	linux/x64
mongodb-cli	linux,darwin,win	6237969	linux/x64
mongosh	linux,darwin,win	90444148	linux/x64
monolith	linux	12434488	linux/x64
moribito	linux,darwin,win	3372231	linux/x64
mosh	darwin	167481	macos/arm64
